HYPE,,,,,,
,DATE,PRICE,PERP_VOLUME,PERP_DAU,REVENUE,CHAIN_TVL
,06/20/2025,33.36532827,8968251527,32996,1564473.915,1193831134
,06/21/2025,33.42847443,5847141446,31168,2100281.207,1132064091
,06/22/2025,35.67551763,12752495634,33311,2423968.397,1142606289
,06/23/2025,38.36610056,13856121416,32539,3623868.465,1188061938
,06/24/2025,37.37583913,7571758636,27082,4383082.11,1236680252
,06/25/2025,36.92199805,7108274329,26866,1820051.463,1225017504
,06/26/2025,35.78125502,6055441760,26100,1915091.452,1210316578
,06/27/2025,36.50341735,5470639961,22875,1822854.841,1192448795
,06/28/2025,37.68025171,2025197968,19512,1230467.374,1211010199
,06/29/2025,39.75680049,3695761350,23659,566255.9477,1238295933
,06/30/2025,39.52897713,6118926587,27925,1558979.096,1260425967
,07/01/2025,36.88097944,6137915467,28782,1499559.127,1249638834
,07/02/2025,40.01380699,8719518106,30314,1915992.916,1227976771
,07/03/2025,40.19270104,6255162517,28819,2493402.32,1284603454
,07/04/2025,39.13121409,5864926747,28396,1772238.27,1291295654
,07/05/2025,39.10752806,2452155929,19424,1602692.067,1273718373
,07/06/2025,39.78011374,4294167143,22640,663343.454,1281540104
,07/07/2025,38.5761673,5322478316,25947,1402358.06,1294578138
,07/08/2025,38.85703716,5326474024,26431,1559230.69,1276290477
,07/09/2025,40.87320354,8685498922,31963,1670236.78,1249762130
,07/10/2025,43.72773891,11039354787,41646,3047565.339,1292542589
,07/11/2025,46.18462546,12434526533,43275,3729240.255,1306261643
,07/12/2025,47.139259,5482317827,40540,3553528.204,1329859408
,07/13/2025,48.55439589,6415991335,39156,2036000.289,1339174709
,07/14/2025,47.40693142,13350613799,50719,3134297.45,1341168753
,07/15/2025,48.00325929,17479007134,48399,4044228.161,1327616757
,07/16/2025,47.10029117,14856060729,47714,4287996.554,1373716555
,07/17/2025,45.97444371,16742433085,50227,4481798.514,1374702683
,07/18/2025,44.39139741,17838872593,52057,5271197.885,1365311796
,07/19/2025,44.35536951,5943865355,36138,3609157.81,1362624929
,07/20/2025,46.03201894,11231348165,41876,1658605.515,1399215751
,07/21/2025,44.22658964,15226921704,47040,3446394.751,1430668863
,07/22/2025,46.08565291,17575011604,48815,4839230.658,1455148119
,07/23/2025,43.71891583,13898504459,50827,3772707.11,1516727855
,07/24/2025,42.1434656,13218926036,45933,4816784.921,1485814977
,07/25/2025,44.14761961,15952987085,44792,4445125.322,1484913298
,07/26/2025,43.4417193,5702442370,35126,2735163.149,1536374447
,07/27/2025,43.66027884,7421244498,36315,1392627.753,1535852338
,07/28/2025,43.61114311,12416500485,44786,2548171.966,1532496831
,07/29/2025,43.40651188,11453629701,42479,3102254.481,1567637279
,07/30/2025,42.21655794,10150279932,43017,3001620.426,1577286928
,07/31/2025,40.90242179,11386619136,42058,2713524.56,1576604618
,08/01/2025,37.48571494,18323947838,50704,3693244.786,1560682695
,08/02/2025,37.00481614,8060383778,38286,3626305.906,1549886793
,08/03/2025,38.21985162,5617128904,32107,2215940.473,1580651814
,08/04/2025,38.7624914,8791034739,37110,1556631.281,1661898309
,08/05/2025,38.47755147,9318278844,37302,2671810.765,1659611906
,08/06/2025,38.06903466,7485124144,32237,2467336.33,1686582190
,08/07/2025,40.90232344,9965047956,38936,1968864.062,1721198211
,08/08/2025,41.00741169,10819763509,39260,3549663.725,1791122466
,08/09/2025,43.77168842,9614466261,41533,4836743.314,1900468945
,08/10/2025,45.2257022,9371470799,38133,3014143.765,1972710934
,08/11/2025,43.2478141,15791563375,46925,4394632.875,1968523223
,08/12/2025,44.8902712,15425892226,46040,4560146.259,1964044051
,08/13/2025,47.72937278,19115163715,48616,5266696.464,2063991974
,08/14/2025,45.66121268,25503301561,52934,7601425.187,2126498159
,08/15/2025,47.57644745,12783910487,43880,3842604.868,2160706258
,08/16/2025,46.38516651,4750014270,29573,1364691.501,2195916601
,08/17/2025,46.26201377,5962139987,33061,362495.6196,2241185069
,08/18/2025,43.16233006,14386312811,45242,1372747.23,2216546351
,08/19/2025,41.11314573,15643562341,45627,3877530.163,2161278962
,08/20/2025,42.91739796,14478257150,39209,4181854.441,2194965779
,08/21/2025,40.50516035,11359638407,38329,3759926.192,2250823297
,08/22/2025,45.32869312,20053353463,50807,4452189.904,2341277804
,08/23/2025,44.79389226,8057929154,40215,5174512.478,2495320325
,08/24/2025,45.91000542,16097629639,44343,2558725.553,2517298843
,08/25/2025,43.21047833,19614616969,51235,5268748.165,2501427375
,08/26/2025,48.55351035,15443752542,47992,6107666.835,2617642014
,08/27/2025,46.96402597,13064803860,47494,5755290.291,2735375796
,08/28/2025,45.62424678,10326429733,42905,4730784.388,2715452879
,08/29/2025,44.41395287,16725253271,48061,1423316.469,2649167586
,08/30/2025,44.01317614,6800306935,32450,4421915.156,2630906497
,08/31/2025,44.30452855,5772583130,32271,1796725.608,2659872018
,09/01/2025,43.03096006,11580460211,46573,1898904.532,2639948666
,09/02/2025,44.76509711,11441607650,40467,3071353.51,2672423975
,09/03/2025,45.8492297,8208098831,38206,3166114.21,2737995454
,09/04/2025,45.39956124,9349348848,39694,2267529.491,2743280232
,09/05/2025,47.14059432,13286423570,39366,2661544.8,2793535296
,09/06/2025,46.12057833,3331984082,31083,3314909.264,2808483759
,09/07/2025,47.17276567,3847204304,30287,952947.3744,2815376249
,09/08/2025,50.78502443,9250573031,45615,1323267.347,2923396773
,09/09/2025,53.21549903,10018798035,49239,2892544.554,3040637703
,09/10/2025,55.40274166,10559506161,49185,2985640.466,3186186070
,09/11/2025,56.99312031,10433984252,48164,3369542.914,3302611811
,09/12/2025,55.21023217,11245659310,51149,3469045.854,3292797905
,09/13/2025,54.53267209,7138597458,45808,3178598.629,3250502599
,09/14/2025,53.67414377,7350133199,47249,2230439.426,3203683162
,09/15/2025,53.98824258,10563054707,52040,2501498.587,3154669386
,09/16/2025,54.44349797,8684325426,44797,3285998.64,3215346510
,09/17/2025,57.68072331,12239858762,49547,2721816.792,3302934016
,09/18/2025,58.52948475,9619236619,52871,3676672.205,3368928850
,09/19/2025,56.10392923,9083794890,51954,3076375.984,3298682816
,09/20/2025,54.11257057,4226360602,44975,2541395.459,3223255443
,09/21/2025,50.89114904,5319433697,48126,1313543.489,3117010361
,09/22/2025,47.28579073,16338365439,68751,2208940.042,2932961760
,09/23/2025,44.74224635,9712299164,51256,4089705.75,2835197819
,09/24/2025,45.49873081,9362033948,49444,2847050.096,2833008749
,09/25/2025,40.21880654,17331738043,64613,2619731.875,2593180481
,09/26/2025,44.83842859,9113738950,50773,5308168.909,2656528256
,09/27/2025,45.67233551,4187537459,39206,3115571.692,2772164108
,09/28/2025,47.16392254,5711548803,40758,1530857.778,2839168886
,09/29/2025,46.23176031,7936390187,48285,1867842.152,2855374260
,09/30/2025,45.24365992,8492273398,48692,2509979,2838009012
,10/01/2025,47.1110176,9839035267,49701,2630196.039,2863787226
,10/02/2025,50.55567278,10646501531,52553,3390131.194,3044157466
,10/03/2025,49.44593792,10407235001,49092,3047536.971,3061864797
,10/04/2025,49.16048454,4765983816,40640,3103618.473,3085393604
,10/05/2025,48.16161601,9546356668,45741,1418030.266,3063554822
,10/06/2025,47.46710012,10616579278,49158,2850602.524,3016676022
,10/07/2025,45.19387884,14666158578,55381,2906459.538,2988199235
,10/08/2025,46.38378902,8888115168,48603,4271379.912,2960615587
,10/09/2025,44.08363468,12256392323,55285,2757077.459,2898103929
,10/10/2025,38.31908901,28320660524,98960,3337322.508,2648796736
,10/11/2025,36.95747932,9342064417,58129,19271825.9,2456515920
,10/12/2025,39.77455955,11820919495,50930,2812541.403,2576496871
,10/13/2025,42.37579754,9605686516,51774,3657233.405,2761872069
,10/14/2025,39.53018012,16144024872,53942,2752789.969,2750937179
,10/15/2025,37.38487475,10745146066,44901,4084810.387,2645537610
,10/16/2025,36.62068893,11462043413,49667,3357572.073,2588847142
,10/17/2025,35.38336354,11952314888,54337,2487030.606,2530061832
,10/18/2025,36.80518901,3471650754,33731,3509598.953,2573116642
,10/19/2025,37.40957478,5263549441,37022,1076478.593,2609190860
,10/20/2025,37.98647391,8374989189,43025,1743778.193,2678895840
,10/21/2025,35.40987454,14663198150,47277,2104118.39,2605668800
,10/22/2025,36.28777208,11762895469,46129,4085650.014,2575725686
,10/23/2025,40.15772007,8807644288,44615,3357054.022,2723003161
,10/24/2025,39.32978178,6803603827,42430,2786661.345,2764661466
,10/25/2025,44.25760686,3255971548,35415,1998538.622,2911199432
